2026-05-08 00:18:20 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:21 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:21 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:22 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:23 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:23 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:25 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:25 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:18:25 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:18:26 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:26 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:27 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:28 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:28 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:29 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:30 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:31 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:18:31 | INFO | app.events.event_engine | Perception event emitted
